Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Ka'Deem Carey,ARIZ,303,1975,46,1929,6.37,--,23
Stefphon Jefferson,NEV,375,1947,64,1883,5.02,--,24
Montee Ball,WISC,356,1909,79,1830,5.14,--,22
Jordan Lynch,NIU,294,1951,136,1815,6.17,--,19
Le'Veon Bell,MSU,382,1844,51,1793,4.69,--,12
Kenjon Barner,ORE,278,1849,82,1767,6.36,--,21
Johnathan Franklin,UCLA,282,1819,85,1734,6.15,--,13
Antonio Andrews,WKU,304,1784,56,1728,5.68,--,11
Beau Blankenship,OHIO,312,1642,38,1604,5.14,--,15
Stepfan Taylor,STAN,322,1588,58,1530,4.75,--,13
Kerwynn Williams,USU,218,1583,71,1512,6.94,--,15
David Fluellen,TOL,259,1550,52,1498,5.78,--,13
Zurlon Tipton,CMU,252,1536,39,1497,5.94,--,19
Robbie Rouse,FRES,282,1555,65,1490,5.28,--,12
Kasey Carrier,UNM,255,1498,29,1469,5.76,--,15
Adam Muema,SDSU,237,1502,44,1458,6.15,--,16
Bishop Sankey,WASH,289,1491,52,1439,4.98,--,16
Dri Archer,KENT,159,1482,53,1429,8.99,--,16
Joseph Randle,OKST,274,1457,40,1417,5.17,--,14
Jahwan Edwards,BALL,232,1427,17,1410,6.08,--,14
Johnny Manziel,TAMU,201,1571,161,1410,7.01,--,21
Todd Gurley,UGA,222,1415,30,1385,6.24,--,17
Venric Mark,NW,226,1416,50,1366,6.04,--,12
George Winn,CINN,243,1370,36,1334,5.49,--,13
Eddie Lacy,ALA,204,1360,38,1322,6.48,--,17
Trayion Durham,KENT,276,1346,30,1316,4.77,--,14
Zach Line,SMU,277,1325,47,1278,4.61,--,13
Braxton Miller,OSU,227,1524,253,1271,5.6,--,13
Denard Robinson,MICH,177,1350,84,1266,7.15,--,7
Cody Getz,AF,198,1278,30,1248,6.3,--,9
Trent Steelman,ARMY,241,1333,85,1248,5.18,--,17
Tim Cornett,UNLV,242,1268,36,1232,5.09,--,7
Giovani Bernard,UNC,184,1270,42,1228,6.67,--,12
Raymond Maples,ARMY,223,1270,55,1215,5.45,--,2
Kenneth Dixon,LT,200,1228,34,1194,5.97,--,27
Jerome Smith,SYR,227,1207,36,1171,5.16,--,3
Mike Gillislee,FLA,244,1187,35,1152,4.72,--,10
Zac Stacy,VAN,207,1198,57,1141,5.51,--,10
Ameer Abdullah,NEB,226,1193,56,1137,5.03,--,8
D.J. Harper,BSU,228,1207,70,1137,4.99,--,15
Cody Fajardo,NEV,190,1270,149,1121,5.9,--,12
Trey Watts,TULS,186,1132,24,1108,5.96,--,3
T.J. Yeldon,ALA,175,1131,23,1108,6.33,--,12
Latavius Murray,UCF,198,1137,31,1106,5.59,--,15
Andre Ellington,CLEM,212,1104,23,1081,5.1,--,8
Jawan Jamison,RUT,255,1154,79,1075,4.22,--,4
David Oku,ARST,243,1105,44,1061,4.37,--,16
Montel Harris,TEM,186,1087,33,1054,5.67,--,12
Vintavious Cooper,ECU,200,1084,35,1049,5.25,--,7
Ray Graham,PITT,222,1077,35,1042,4.69,--,11
John White IV,UTAH,218,1085,44,1041,4.78,--,8
Darrin Reaves,UAB,215,1075,38,1037,4.82,--,13
DeLeon Eskridge,SJSU,207,1060,35,1025,4.95,--,11
Kendial Lawrence,MIZZ,200,1102,77,1025,5.12,--,12
LaDarius Perkins,MSST,205,1061,37,1024,5,--,8
Taylor Martinez,NEB,195,1317,298,1019,5.23,--,10
James Sims,KAN,218,1048,35,1013,4.65,--,9
Lache Seastrunk,BAY,131,1031,19,1012,7.73,--,7
Shawn Southward,TROY,194,1041,29,1012,5.22,--,10
Tre Mason,AUB,171,1038,36,1002,5.86,--,8
Zach Zwinak,PSU,203,1007,7,1000,4.93,--,6
Anthon Samuel,BGSU,202,1064,66,998,4.94,--,11
