Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,DeMarco Murray,DAL,RB,164,12.6,897,5.5,69,2,91T,41,25,7,2,1
2,Evan Royster,WAS,RB,56,9.3,328,5.9,54.7,0,28,17,30.4,2,0,0
3,Mark Ingram,NO,RB,122,12.2,474,3.9,47.4,5,35T,30,24.6,2,0,1
4,Daniel Thomas,MIA,RB,165,12.7,581,3.5,44.7,0,28,24,14.5,2,0,2
5,Roy Helu,WAS,RB,151,10.1,640,4.2,42.7,2,28T,31,20.5,4,0,1
6,Kendall Hunter,SF,RB,112,7,473,4.2,29.6,2,44,21,18.8,3,1,0
7,Stevan Ridley,NE,RB,87,5.4,441,5.1,27.6,1,33T,18,20.7,5,0,1
8,Armando Allen,CHI,RB,15,7.5,48,3.2,24,0,13,3,20,0,0,0
9,Delone Carter,IND,RB,101,6.3,377,3.7,23.6,2,42,19,18.8,2,1,3
10,John Clay,PIT,RB,10,5,41,4.1,20.5,1,10T,1,10,0,0,0
11,Jacquizz Rodgers,ATL,RB,57,3.6,205,3.6,12.8,1,13,15,26.3,0,0,1
12,Shane Vereen,NE,RB,15,3,57,3.8,11.4,1,19,2,13.3,0,0,0
13,Bilal Powell,NYJ,RB,13,6.5,21,1.6,10.5,0,6,0,0,0,0,1
14,Brandon Saine,GB,RB,18,2.2,69,3.8,8.6,0,10,1,5.6,0,0,0
15,Phillip Tanner,DAL,RB,22,2.4,76,3.5,8.4,1,17,5,22.7,0,0,0
16,DuJuan Harris,JAC,RB,9,1.8,42,4.7,8.4,0,24,2,22.2,1,0,0
17,Taiwan Jones,OAK,RB,16,1.6,73,4.6,7.3,0,14,2,12.5,0,0,0
18,Dion Lewis,PHI,RB,23,1.5,102,4.4,6.8,1,20,5,21.7,1,0,0
19,Mossis Madu,TB,RB,15,1.7,55,3.7,6.1,0,15,3,20,0,0,0
20,Jamie Harper,TEN,RB,17,1.3,44,2.6,3.4,1,12,4,23.5,0,0,1
21,Johnny White,BUF,RB,12,1,38,3.2,3.2,0,13,1,8.3,0,0,0
22,Alex Green,GB,RB,3,0.8,11,3.7,2.8,0,8,0,0,0,0,0
23,Anthony Allen,BAL,RB,3,0.6,8,2.7,1.6,0,3,0,0,0,0,0
24,Da'Rel Scott,NYG,RB,5,0.5,16,3.2,1.5,0,8,1,20,0,0,1
25,Armond Smith,CLE,RB,3,1,2,0.7,0.7,0,6,0,0,0,0,0
26,Owen Marecic,CLE,FB,4,0.3,8,2,0.6,0,3,1,25,0,0,0
27,Bruce Miller,SF,FB,4,0.3,8,2,0.5,0,3,2,50,0,0,1
28,Anthony Sherman,ARI,FB,1,0.1,3,3,0.2,0,3,1,100,0,0,0
