Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Toby Gerhart,STAN,343.00,1913.00,42.00,1871.00,5.45,--,28.00
Ryan Mathews,FRES,276.00,1850.00,42.00,1808.00,6.55,--,19.00
Dion Lewis,PITT,325.00,1862.00,63.00,1799.00,5.54,--,17.00
Mark Ingram,ALA,271.00,1678.00,20.00,1658.00,6.12,--,17.00
Ryan Williams,VT,293.00,1720.00,65.00,1655.00,5.65,--,21.00
Donald Buckram,UTEP,259.00,1638.00,44.00,1594.00,6.15,--,18.00
LaMichael James,ORE,230.00,1608.00,62.00,1546.00,6.72,--,14.00
John Clay,WISC,287.00,1548.00,31.00,1517.00,5.29,--,18.00
Noel Devine,WVU,241.00,1549.00,84.00,1465.00,6.08,--,13.00
Montel Harris,BC,308.00,1554.00,97.00,1457.00,4.73,--,14.00
Jacquizz Rodgers,ORST,273.00,1502.00,62.00,1440.00,5.27,--,21.00
Joe Webb,UAB,227.00,1619.00,192.00,1427.00,6.29,--,11.00
Jonathan Dwyer,GT,235.00,1438.00,43.00,1395.00,5.94,--,14.00
Alfred Morris,FAU,263.00,1429.00,37.00,1392.00,5.29,--,11.00
Anthony Dixon,MSST,257.00,1445.00,54.00,1391.00,5.41,--,12.00
Lance Dunbar,UNT,200.00,1433.00,55.00,1378.00,6.89,--,17.00
Ben Tate,AUB,263.00,1406.00,44.00,1362.00,5.18,--,10.00
Bernard Pierce,TEM,236.00,1407.00,46.00,1361.00,5.77,--,16.00
Montario Hardesty,TENN,282.00,1413.00,68.00,1345.00,4.77,--,13.00
Vai Taua,NEV,172.00,1359.00,14.00,1345.00,7.82,--,10.00
Robert Turbin,USU,207.00,1337.00,41.00,1296.00,6.26,--,13.00
Daniel Thomas,KSST,247.00,1290.00,25.00,1265.00,5.12,--,11.00
Curtis Steele,MEM,198.00,1286.00,47.00,1239.00,6.26,--,15.00
Keith Toston,OKST,227.00,1230.00,12.00,1218.00,5.37,--,11.00
C.J. Spiller,CLEM,216.00,1271.00,59.00,1212.00,5.61,--,12.00
Alexander Robinson,IAST,232.00,1232.00,37.00,1195.00,5.15,--,6.00
Ricky Dobbs,NAVY,315.00,1367.00,175.00,1192.00,3.78,--,27.00
Shawnbrey McNeal,SMU,236.00,1268.00,80.00,1188.00,5.03,--,12.00
Jordan Todman,CONN,235.00,1237.00,49.00,1188.00,5.06,--,14.00
Colin Kaepernick,NEV,161.00,1351.00,168.00,1183.00,7.35,--,16.00
Dominique Lindsay,ECU,239.00,1205.00,25.00,1180.00,4.94,--,6.00
Dexter McCluster,MISS,181.00,1202.00,33.00,1169.00,6.46,--,8.00
Evan Royster,PSU,205.00,1195.00,26.00,1169.00,5.70,--,6.00
Brandon West,WMU,214.00,1197.00,33.00,1164.00,5.44,--,10.00
Dwight Dasher,MTSU,224.00,1391.00,237.00,1154.00,5.15,--,13.00
Jeremy Avery,BSU,209.00,1207.00,57.00,1150.00,5.50,--,6.00
Roy Helu,NEB,220.00,1193.00,46.00,1147.00,5.21,--,10.00
Daniel Porter,LT,211.00,1199.00,67.00,1132.00,5.36,--,11.00
Darius Marshall,MRSH,227.00,1177.00,46.00,1131.00,4.98,--,11.00
Frank Goodin,ULM,219.00,1184.00,58.00,1126.00,5.14,--,13.00
Chris Polk,WASH,226.00,1189.00,76.00,1113.00,4.92,--,5.00
Brynn Harvey,UCF,261.00,1174.00,65.00,1109.00,4.25,--,14.00
Andre Dixon,CONN,239.00,1115.00,22.00,1093.00,4.57,--,14.00
Harvey Unga,BYU,208.00,1112.00,25.00,1087.00,5.23,--,11.00
Eddie Wide,UTAH,203.00,1101.00,32.00,1069.00,5.27,--,12.00
Chad Spann,NIU,179.00,1060.00,22.00,1038.00,5.80,--,19.00
Joshua Nesbitt,GT,279.00,1205.00,168.00,1037.00,3.72,--,18.00
Luke Lippincott,NEV,134.00,1049.00,15.00,1034.00,7.72,--,9.00
Delone Carter,SYR,236.00,1048.00,27.00,1021.00,4.33,--,11.00
Andre Anderson,TULN,238.00,1108.00,92.00,1016.00,4.27,--,8.00
Seth Smith,NMST,246.00,1086.00,70.00,1016.00,4.13,--,1.00
Damion Fletcher,USM,219.00,1050.00,35.00,1015.00,4.63,--,8.00
Joe McKnight,USC,164.00,1054.00,40.00,1014.00,6.18,--,8.00
DaJuane Collins,TOL,178.00,1026.00,35.00,991.00,5.57,--,14.00
DeMaundray Woolridge,IDHO,170.00,985.00,5.00,980.00,5.76,--,18.00
Vince Murray,NAVY,182.00,972.00,1.00,971.00,5.34,--,6.00
Jared Tew,AF,238.00,976.00,6.00,970.00,4.08,--,9.00
Joe Martinek,RUT,206.00,1018.00,51.00,967.00,4.69,--,9.00
Shane Vereen,CAL,183.00,1000.00,48.00,952.00,5.20,--,12.00
Bobby Rainey,WKU,144.00,1017.00,78.00,939.00,6.52,--,6.00
Ralph Bolden,PUR,200.00,1000.00,65.00,935.00,4.67,--,9.00
Tim Tebow,FLA,217.00,1088.00,178.00,910.00,4.19,--,14.00
Derrick Locke,KY,195.00,961.00,54.00,907.00,4.65,--,6.00
Baron Batch,TTU,168.00,903.00,19.00,884.00,5.26,--,14.00
MiQuale Lewis,BALL,181.00,947.00,76.00,871.00,4.81,--,5.00
Jahvid Best,CAL,141.00,930.00,63.00,867.00,6.15,--,12.00
Asher Clark,AF,151.00,909.00,44.00,865.00,5.73,--,7.00
Derrick Washington,MIZZ,190.00,909.00,44.00,865.00,4.55,--,10.00
D.D. Kyles,MTSU,139.00,879.00,22.00,857.00,6.17,--,3.00
Christine Michael,TAMU,166.00,878.00,34.00,844.00,5.08,--,10.00
Adam Robinson,IOWA,181.00,877.00,43.00,834.00,4.61,--,5.00
Jermaine Thomas,FSU,163.00,876.00,44.00,832.00,5.10,--,9.00
Isaiah Pead,CINN,121.00,843.00,37.00,806.00,6.66,--,9.00
Rodney Stewart,COL,198.00,872.00,68.00,804.00,4.06,--,9.00
Dimitri Nance,AZST,188.00,865.00,70.00,795.00,4.23,--,6.00
Warren Norman,VAN,145.00,802.00,19.00,783.00,5.40,--,3.00
Terrelle Pryor,OSU,162.00,1014.00,235.00,779.00,4.81,--,7.00
Toney Baker,NCST,160.00,801.00,28.00,773.00,4.83,--,6.00
B.J. Daniels,USF,175.00,1029.00,257.00,772.00,4.41,--,9.00
Leonard Mason,CSU,156.00,791.00,25.00,766.00,4.91,--,2.00
Doug Martin,BSU,129.00,778.00,13.00,765.00,5.93,--,15.00
Cyrus Gray,TAMU,159.00,794.00,37.00,757.00,4.76,--,5.00
Joseph Turner,TCU,147.00,768.00,14.00,754.00,5.13,--,11.00
Trent Richardson,ALA,145.00,784.00,33.00,751.00,5.18,--,8.00
Chris Brown,OKLA,182.00,791.00,42.00,749.00,4.12,--,7.00
Jeff Demps,FLA,99.00,763.00,18.00,745.00,7.53,--,7.00
Brandon Saine,OSU,145.00,768.00,29.00,739.00,5.10,--,4.00
Mikel Leshoure,ILL,108.00,765.00,31.00,734.00,6.80,--,5.00
Reggie Arnold,ARST,168.00,766.00,43.00,723.00,4.30,--,12.00
Washaun Ealey,UGA,125.00,728.00,11.00,717.00,5.74,--,3.00
Ryan Houston,UNC,191.00,733.00,20.00,713.00,3.73,--,9.00
Dan LeFevour,CMU,183.00,824.00,111.00,713.00,3.90,--,15.00
