Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,Ezekiel Elliott,DAL,RB,322,21.5,1631,5.1,108.7,15,60T,91,28.3,14,3,5
2,Jordan Howard,CHI,RB,252,16.8,1313,5.2,87.5,6,69,70,27.8,10,2,1
3,Rob Kelley,WAS,RB,168,11.2,704,4.2,46.9,6,66,29,17.3,4,2,0
4,Devontae Booker,DEN,RB,174,10.9,612,3.5,38.2,4,18,30,17.2,0,0,2
5,DeAndre Washington,OAK,RB,87,6.2,467,5.4,33.4,2,30,19,21.8,7,0,1
6,Derrick Henry,TEN,RB,110,7.3,490,4.5,32.7,5,22,29,26.4,1,0,0
7,Paul Perkins,NYG,RB,112,8,456,4.1,32.6,0,22,22,19.6,2,0,1
8,Kenneth Dixon,BAL,RB,88,7.3,382,4.3,31.8,2,20,26,29.5,1,0,1
9,Jalen Richard,OAK,RB,83,5.2,491,5.9,30.7,1,75T,14,16.9,5,1,0
10,C.J. Prosise,SEA,RB,30,5,172,5.7,28.7,1,72T,3,10,1,1,0
11,Wendell Smallwood,PHI,RB,77,5.9,312,4.1,24,1,19,20,26,0,0,1
12,Dwayne Washington,DET,RB,90,7.5,265,2.9,22.1,1,28,11,12.2,1,0,0
13,Peyton Barber,TB,RB,55,3.7,223,4.1,14.9,1,44T,10,18.2,1,1,0
14,Kenneth Farrow,SD,RB,60,4.6,192,3.2,14.8,0,11,10,16.7,0,0,1
15,Troymaine Pope,SEA,RB,11,3.7,43,3.9,14.3,0,18,3,27.3,0,0,0
16,Alex Collins,SEA,RB,31,2.8,125,4,11.4,1,26,8,25.8,1,0,2
17,Kenyan Drake,MIA,RB,33,2.1,179,5.4,11.2,2,45T,9,27.3,1,1,0
18,Don Jackson,GB,RB,10,3.3,32,3.2,10.7,0,7,1,10,0,0,0
19,Jonathan Williams,BUF,RB,27,2.5,94,3.5,8.5,1,20,6,22.2,1,0,2
20,D.J. Foster,NE,RB,7,2.3,24,3.4,8,0,7,0,0,0,0,0
21,Brandon Wilds,NYJ,RB,10,2.5,27,2.7,6.8,0,6,1,10,0,0,0
22,Daniel Lasco,NO,RB,11,1.6,32,2.9,4.6,0,6,1,9.1,0,0,0
23,Andy Janovich,DEN,FB,4,0.4,33,8.3,3,1,28T,2,50,1,0,0
24,J.D. McKissic,SEA,RB,1,1,2,2,2,0,2,0,0,0,0,0
25,Josh Ferguson,IND,RB,15,0.9,20,1.3,1.2,0,11,0,0,0,0,0
26,Tyler Ervin,HOU,RB,1,0.1,3,3,0.2,0,3,0,0,0,0,0
26,Derek Watt,SD,FB,2,0.1,4,2,0.2,0,2,2,100,0,0,0
28,Joe Kerridge,GB,RB,1,0.1,0,0,0,0,0,0,0,0,0,0
29,Brandon Burks,NYJ,RB,2,2,-4,-2,-4,0,1,0,0,0,0,0
